FY ,Quarter,Month(As on),MFI_Name,AUM_RsCr,TotalAssets_RsCr,OnBS_OS_MFL-RsCr,MFL_P_TA,QualifyingAssets_P,Wavg_CoB,Avg_OperatingCost_P,Max_Interest Rate_MFL,Min_Interest Rate_MFL,Wavg_InterestRate_MFL, AverageTicketSize ,Off-BS_MFL_Port_RsCr,BusinessCorrespondent,Securitised_Portfolio,Assigned_Portfolio,SPV_Portfolio_PTC_RsCr,NPA_Portfolio_RsCr,GrossNPA_P_OnBS MFL,NetNPA_P_OnBS MFL,DPD_G30Days_Lakhs,DPD_G30Days_P_OnBS MFL,DPD_G60Days_Lakhs,DPD_G60Days_P_OnBS MFL,DPD_G90Days_Lakhs,DPD_G90Days_P_OnBS MFL,DPD_G180Days_Lakhs,DPD_G180Days_P_OnBS MFL,TotalEquity_P_TA,Promoter_P_TA,FDI_P_TA,Others_P_TA,AIFIs_P_TA,Top5_Banks_P,OtherBanks_P,SFBs_P,Banks_P_TA,NBE_TA,ECB_P_TA,Others_P_TA,TermLoan_P_TA,Debentures_P_TA,SuborditedDebt_P_TA,CommercialPapers_P_TA,AnyOther_P_TA,Income_OnBS MFL_Port_P_TA,Income_OffBS MFL_Port_P_TA,I_NonCredit_FP_TA,I_NonCredit_NFProducts_TA,Share_Income_Activities_Direct Lending,OperatingProfit_RsCr,NetProfit_RsCr,ROA_P,ROE_P,L20P_LRs50000,L20P_GRs50000to1Lak,L20P_GRs1LaktoLRs1p5Lak,L20P_GRs1p5LaktoLRs2lak,L20P_GRs2laktoLRs2p5Lak,L20P_GRs2p5LaktoLRs3Lak,G20ptoL30p_LRs50000,G20ptoL30p_LRs50000toLRs1Lak ,G20ptoL30p_GRs1LaktoLRs1p5Lak,G20ptoL30p_GRs1p5LaktoLRs2Lak,G20ptoL30p_GRs2LaktoLR2p5Lak,G20ptoL30p_GRs2p5LaktoLRs3Lak,G30ptoL40p_LRs50000,G30ptoL40p_GRs50000toLRs1Lak ,G30ptoL40p_GRs1LaktoLRs1p5Lak,G30ptoL40p_GRs1p5LaktoLRs2Lak,G30ptoL40p_GRs2LaktoLRs2p5Lak,G30ptoL40p_GRs2p5LaktoLRs3Lak,G40ptoL50p_LR50000,G40ptoL50p_GRs50000toLRs1Lak ,G40ptoL50p_GRs1LaktoLRs1p5Lak,G40ptoL50p_GRs1p5LaktoLRs2Lak,G40ptoL50p_GRs2LaktoLRs2p5Lak,G40ptoL50p_GRs2p5LaktoLRs3Lak
FY 18-19,Q2 FY 18-19,Sep-18,Adhikar Microfinance Private Limited,228.76,182.56,,,95.19%,14.95%,6.49%,,,24.50%,24901,,,,,,,0.32%,,93.32,0.41%,70.29,0.31%,66.21,0.29%,51.46,0.22%,,,,,,,,1.90,19.44,77.07,1.59,0.00,,,,,,,,,,21%, 6.5 , 1.1 ,1.4%,12.7%,,,,,,,,,,,,,,,,,,,,,,,,
FY 18-19,Q2 FY 18-19,Sep-18,Adi Chitragupta Finance Limited,21.23,29.51,,,100.00%,15.26%,16.80%,,,24.67%,25122,,,,,,,0.00%,,0.04,0.00%,0.06,0.00%,0.00,0.00%,0.00,0.00%,,,,,,,,0.00,0.00,0.00,0.00,100.00,,,,,,,,,,3%, 0.2 , 0.2 ,1.8%,3.2%,,,,,,,,,,,,,,,,,,,,,,,,
FY 18-19,Q2 FY 18-19,Sep-18,Agora Microfinance India Ltd,38.06,42.48,,,92.78%,12.02%,9.85%,,,23.41%,27514,,,,,,0.00,2.33%,,109.90,2.89%,106.25,2.79%,103.03,2.71%,96.25,2.53%,,,,,,,,0.00,2.21,97.79,0.00,0.00,,,,,,,,,,4%, 0.3 , 0.3 ,1.3%,4.0%,,,,,,,,,,,,,,,,,,,,,,,,
FY 18-19,Q2 FY 18-19,Sep-18,Annapurna Finance Private Limited,2196.78,2302.50,,,92.91%,11.84%,7.34%,,,21.85%,29899,,,,,,38.36,2.04%,,4414.93,2.01%,4082.43,1.86%,3951.00,1.80%,3562.07,1.62%,,,,,,,,1.14,53.75,14.62,3.24,27.25,,,,,,,,,,16%, 51.6 , 26.7 ,2.6%,15.9%,,,,,,,,,,,,,,,,,,,,,,,,
FY 18-19,Q2 FY 18-19,Sep-18,Arohan Financial Services Limited,2789.87,2906.26,,,89.04%,10.76%,6.91%,,,20.70%,27567,,,,,,,0.80%,,3220.39,1.15%,2640.88,0.95%,2191.36,0.79%,1236.05,0.44%,,,,,,,,0.00,77.80,17.34,0.00,4.85,,,,,,,,,,7%, 81.3 , 36.4 ,0.9%,6.0%,,,,,,,,,,,,,,,,,,,,,,,,
FY 18-19,Q2 FY 18-19,Sep-18,Asirvad Microfinance Limited,2728.94,2814.51,,,94.37%,11.92%,27.97%,,,21.90%,20735,,,,,,44.30,1.62%,,5323.03,1.95%,4597.59,1.68%,4358.42,1.60%,3771.97,1.38%,,,,,,,,0.00,40.13,17.17,0.00,42.70,,,,,,,,,,21%, 99.9 , 58.2 ,4.6%,32.5%,,,,,,,,,,,,,,,,,,,,,,,,
FY 18-19,Q2 FY 18-19,Sep-18,Aviral Finance Pvt Ltd,26.85,29.64,,,93.63%,15.49%,7.31%,,,24.60%,24659,,,,,,0.00,0.03%,,0.87,0.03%,0.71,0.03%,0.62,0.02%,0.30,0.01%,,,,,,,,0.00,0.00,50.78,0.00,49.22,,,,,,,,,,0%, 0.1 , -0.0 ,-0.1%,-0.5%,,,,,,,,,,,,,,,,,,,,,,,,
FY 18-19,Q2 FY 18-19,Sep-18,Belstar Investment and Finance Pvt Ltd,1380.64,1544.94,,,91.82%,13.73%,7.23%,,,24.50%,33318,,,,,,10.87,0.95%,,1682.03,1.22%,1243.28,0.90%,1038.94,0.75%,604.41,0.44%,,,,,,,,0.00,83.06,16.94,0.00,0.00,,,,,,,,,,4%, 152.1 , 31.4 ,4.4%,30.2%,,,,,,,,,,,,,,,,,,,,,,,,
FY 18-19,Q2 FY 18-19,Sep-18,Bharat Financial Inclusion Ltd (previously known as SKS),15481.11,12000.78,,,95.00%,9.79%,6.06%,,,19.75%,25066,,,,,,12.27,0.37%,,6933.21,0.45%,4091.61,0.26%,0.00,0.00%,0.00,0.00%,,,,,,,,0.00,70.07,9.44,0.00,20.49,,,,,,,,,,23%, 337.3 , 232.9 ,7.6%,27.0%,,,,,,,,,,,,,,,,,,,,,,,,
FY 18-19,Q2 FY 18-19,Sep-18,Centrum MicroCredit Ltd,160.01,196.41,,,87.53%,14.79%,12.28%,,,24.83%,30390,,,,,,0.33,0.20%,,37.30,0.23%,34.91,0.22%,32.52,0.20%,19.44,0.12%,,,,,,,,0.00,11.26,16.56,0.00,72.19,,,,,,,,,,0%, -0.3 , -0.8 ,-0.5%,-2.2%,,,,,,,,,,,,,,,,,,,,,,,,
FY 18-19,Q2 FY 18-19,Sep-18,Chaitanya India Fin Credit Pvt Ltd,454.98,456.03,,,93.06%,14.64%,11.98%,,,23.92%,25786,,,,,,14.98,3.73%,,1523.17,3.35%,1509.12,3.32%,1498.06,3.29%,1465.58,3.22%,,,,,,,,0.00,23.65,40.87,0.00,35.48,,,,,,,,,,6%, 3.9 , 2.4 ,0.6%,4.7%,,,,,,,,,,,,,,,,,,,,,,,,
FY 18-19,Q2 FY 18-19,Sep-18,CreditAccess Grameen Ltd,5794.12,6205.27,,,93.15%,10.80%,5.01%,,,19.66%,18004,,,,,,58.38,1.01%,,7066.10,1.22%,5820.26,1.00%,5250.15,0.91%,3657.23,0.63%,,,,,,,,0.00,60.25,17.02,0.49,22.25,,,,,,,,,,1%, 133.0 , 73.5 ,4.9%,15.7%,,,,,,,,,,,,,,,,,,,,,,,,
FY 18-19,Q2 FY 18-19,Sep-18,Fino Finance Pvt Ltd,697.18,526.82,,,88.86%,13.89%,11.98%,,,24.14%,34575,,,,,,,4.10%,,8310.85,11.92%,7678.83,11.01%,7142.38,10.24%,5778.38,8.29%,,,,,,,,2.62,18.22,54.20,0.00,24.96,,,,,,,,,,18%, 12.7 , 9.6 ,3.5%,21.3%,,,,,,,,,,,,,,,,,,,,,,,,
FY 18-19,Q2 FY 18-19,Sep-18,Fusion Microfinance Pvt Ltd,2047.15,2311.91,,,93.24%,13.33%,7.67%,,,22.50%,26275,,,,,,,1.37%,,3538.31,1.73%,3086.78,1.51%,2801.19,1.37%,2282.39,1.11%,,,,,,,,5.82,27.46,36.74,0.00,29.98,,,,,,,,,,5%, 127.0 , 16.0 ,3.1%,23.0%,,,,,,,,,,,,,,,,,,,,,,,,
FY 18-19,Q2 FY 18-19,Sep-18,Growing Opportunity Finance India Pvt Ltd,189.98,227.46,,,92.44%,15.74%,4.99%,,,24.63%,37608,,,,,,,0.02%,,6.06,0.03%,4.38,0.02%,3.84,0.02%,3.23,0.02%,,,,,,,,0.00,11.82,88.18,0.00,0.00,,,,,,,,,,0%, 6.5 , 4.3 ,4.0%,26.4%,,,,,,,,,,,,,,,,,,,,,,,,
FY 18-19,Q2 FY 18-19,Sep-18,Hindusthan Microfinance Pvt Ltd,32.61,42.20,,,85.80%,15.19%,8.59%,,,24.70%,33311,,,,,,0.19,0.57%,,29.54,0.91%,25.78,0.79%,18.70,0.57%,11.70,0.36%,,,,,,,,0.00,58.55,41.45,0.00,0.00,,,,,,,,,,4%, 0.1 , 0.1 ,0.7%,0.2%,,,,,,,,,,,,,,,,,,,,,,,,
FY 18-19,Q2 FY 18-19,Sep-18,Inditrade Microfinance Ltd,96.45,103.12,,,100.00%,16.20%,4.94%,,,24.53%,27200,,,,,,0.01,0.00%,,27.74,0.29%,16.92,0.18%,13.00,0.13%,0.00,0.00%,,,,,,,,0.00,14.83,85.17,0.00,0.00,,,,,,,,,,1%, 1.8 , 1.0 ,1.5%,9.3%,,,,,,,,,,,,,,,,,,,,,,,,
FY 18-19,Q2 FY 18-19,Sep-18,Jagaran Microfin Pvt Ltd,288.51,347.99,,,93.91%,14.41%,7.94%,,,23.05%,22639,,,,,,1.23,0.41%,,165.60,0.57%,154.71,0.54%,137.64,0.48%,110.47,0.38%,,,,,,,,3.46,24.27,72.27,0.00,0.00,,,,,,,,,,5%, 9.5 , 5.7 ,4.0%,15.3%,,,,,,,,,,,,,,,,,,,,,,,,
FY 18-19,Q2 FY 18-19,Sep-18,Janakalyan financial services Pvt ltd,102.38,89.82,,,89.86%,14.76%,10.99%,,,24.80%,23681,,,,,,,0.03%,,4.51,0.04%,2.92,0.03%,2.64,0.03%,2.20,0.02%,,,,,,,,0.00,17.06,82.94,0.00,0.00,,,,,,,,,,11%, -0.4 , -0.4 ,-0.6%,-3.3%,,,,,,,,,,,,,,,,,,,,,,,,
FY 18-19,Q2 FY 18-19,Sep-18,Light Microfinance Pvt Ltd,201.48,84.75,,,93.50%,13.73%,9.82%,,,24.53%,34100,,,,,,2.41,1.20%,,292.49,1.45%,260.94,1.30%,241.11,1.20%,184.09,0.91%,,,,,,,,0.00,16.92,83.08,0.00,0.00,,,,,,,,,,13%, 0.6 , 0.4 ,0.5%,1.1%,,,,,,,,,,,,,,,,,,,,,,,,
FY 18-19,Q2 FY 18-19,Sep-18,Madura Micro Finance Ltd,1599.12,180.42,,,88.27%,15.98%,8.95%,,,24.53%,30853,,,,,,,2.12%,,1552.06,0.97%,894.07,0.56%,574.49,0.36%,0.00,0.00%,,,,,,,,11.57,10.98,77.45,0.00,0.00,,,,,,,,,,4%, 2.5 , -1.6 ,-1.6%,-12.8%,,,,,,,,,,,,,,,,,,,,,,,,
FY 18-19,Q2 FY 18-19,Sep-18,Margdarshak Financial Services Ltd,253.94,1676.84,,,93.00%,11.37%,5.46%,,,21.54%,28879,,,,,,,0.37%,,341.30,1.34%,104.51,0.41%,142.72,0.56%,214.93,0.85%,,,,,,,,2.07,41.76,39.25,1.91,15.01,,,,,,,,,,2%, 46.2 , 38.4 ,5.3%,29.6%,,,,,,,,,,,,,,,,,,,,,,,,
FY 18-19,Q2 FY 18-19,Sep-18,Midland Microfin Ltd,448.22,260.72,,,87.14%,14.27%,8.52%,,,24.21%,22982,,,,,,0.21,0.10%,,247.20,0.55%,233.60,0.52%,225.84,0.50%,216.40,0.48%,,,,,,,,0.00,45.23,45.49,0.00,9.28,,,,,,,,,,19%, 12.3 , 1.8 ,1.3%,20.5%,,,,,,,,,,,,,,,,,,,,,,,,
FY 18-19,Q2 FY 18-19,Sep-18,Mpower,225.16,527.96,,,90.20%,14.81%,9.15%,,,24.64%,28222,,,,,,2.20,0.49%,,640.41,2.84%,566.44,2.52%,525.29,2.33%,474.19,2.11%,,,,,,,,0.00,22.80,57.43,0.00,19.78,,,,,,,,,,6%, 4.6 , 3.1 ,2.3%,17.8%,,,,,,,,,,,,,,,,,,,,,,,,
FY 18-19,Q2 FY 18-19,Sep-18,MSM Microfinance Pvt Ltd,38.21,0.12,,,86.33%,17.00%,39.74%,,,24.74%,22023,,,,,,,3.09%,,128.44,3.36%,126.47,3.31%,125.10,3.27%,80.73,2.11%,,,,,,,,0.00,11.98,88.02,0.00,0.00,,,,,,,,,,32%, 0.2 , 0.1 ,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,,,,
FY 18-19,Q2 FY 18-19,Sep-18,Namra Finance Ltd,357.98,386.60,,,,0.00%,0.00%,,,0.00%,26366,,,,,,,0.00%,,354.58,0.99%,296.76,0.83%,241.13,0.67%,192.56,0.54%,,,,,,,,,,,,,,,,,,,,,,,,,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,,,,
FY 18-19,Q2 FY 18-19,Sep-18,NEED Livelihood Microfinance Pvt Ltd,48.01,47.53,,,93.88%,15.25%,11.65%,,,24.68%,21858,,,,,,0.57,1.20%,,98.69,2.06%,69.69,1.45%,57.32,1.19%,32.63,0.68%,,,,,,,,0.00,12.87,87.13,0.00,0.00,,,,,,,,,,12%, 0.1 , 0.1 ,0.2%,0.8%,,,,,,,,,,,,,,,,,,,,,,,,
FY 18-19,Q2 FY 18-19,Sep-18,Nightingale Finvest Pvt Ltd,79.94,0.00,,,92.98%,15.22%,7.11%,,,23.90%,28343,,,,,,,0.00%,,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,,,,,,,,0.00,31.82,68.18,0.00,0.00,,,,,,,,,,4%, 11.8 , 1.2 ,1.4%,26.1%,,,,,,,,,,,,,,,,,,,,,,,,
FY 18-19,Q2 FY 18-19,Sep-18,Pahal Financial Services Pvt Ltd,362.31,368.18,,,90.25%,16.52%,8.52%,,,0.00%,33580,,,,,,1.34,0.43%,,199.94,0.55%,174.58,0.48%,153.90,0.42%,114.77,0.32%,,,,,,,,5.98,6.17,56.96,0.00,30.89,,,,,,,,,,2%, 5.8 , 4.3 ,2.3%,10.0%,,,,,,,,,,,,,,,,,,,,,,,,
FY 18-19,Q2 FY 18-19,Sep-18,Saija Finance Pvt Ltd,442.56,457.57,,,96.30%,14.18%,7.76%,,,24.53%,21846,,,,,,11.53,2.93%,,1463.08,3.31%,1304.75,2.95%,1239.17,2.80%,1159.97,2.62%,,,,,,,,3.09,5.57,41.02,0.00,50.33,,,,,,,,,,3%, 12.0 , 8.1 ,1.8%,12.2%,,,,,,,,,,,,,,,,,,,,,,,,
FY 18-19,Q2 FY 18-19,Sep-18,Samasta Micro Finance Ltd,1447.78,1408.78,,,89.68%,12.66%,11.88%,,,22.50%,27707,,,,,,,0.73%,,863.47,0.60%,655.52,0.45%,594.47,0.41%,410.39,0.28%,,,,,,,,0.00,33.14,5.39,0.00,61.47,,,,,,,,,,0%, 30.3 , 18.7 ,3.4%,26.2%,,,,,,,,,,,,,,,,,,,,,,,,
FY 18-19,Q2 FY 18-19,Sep-18,Sambandh Finserv Pvt Ltd,250.93,269.46,,,93.10%,13.99%,6.63%,,,24.53%,27257,,,,,,1.21,0.58%,,166.01,0.66%,136.95,0.55%,120.71,0.48%,79.40,0.32%,,,,,,,,13.16,50.00,0.55,0.00,36.28,,,,,,,,,,13%, 17.8 , 1.8 ,1.4%,12.1%,,,,,,,,,,,,,,,,,,,,,,,,
FY 18-19,Q2 FY 18-19,Sep-18,Satin Credit Care Network Ltd,5561.14,6674.85,,,89.16%,12.25%,6.53%,,,21.47%,26774,,,,,,227.39,4.09%,,27576.91,4.96%,25176.51,4.53%,22739.34,4.09%,15779.41,2.84%,,,,,,,,0.00,61.66,9.93,0.94,27.47,,,,,,,,,,9%, 166.2 , 69.5 ,2.2%,14.5%,,,,,,,,,,,,,,,,,,,,,,,,
FY 18-19,Q2 FY 18-19,Sep-18,Satya MicroCapital Ltd,350.75,477.46,,,92.17%,14.95%,13.38%,,,23.76%,32122,,,,,,0.12,0.00%,,22.76,0.06%,19.12,0.05%,11.96,0.03%,3.93,0.01%,,,,,,,,0.00,31.63,43.94,0.00,24.43,,,,,,,,,,23%, -0.8 , -2.0 ,-1.1%,-4.3%,,,,,,,,,,,,,,,,,,,,,,,,
FY 18-19,Q2 FY 18-19,Sep-18,Shikhar Micrfinance Pvt Ltd,64.45,72.78,,,88.78%,15.60%,8.20%,,,24.80%,29858,,,,,,1.02,1.57%,,196.12,3.04%,124.40,1.93%,101.51,1.57%,73.51,1.14%,,,,,,,,0.00,12.65,87.35,0.00,0.00,,,,,,,,,,8%, 0.2 , 0.0 ,0.0%,0.1%,,,,,,,,,,,,,,,,,,,,,,,,
FY 18-19,Q2 FY 18-19,Sep-18,Sonata Finance Pvt Ltd,1297.44,1273.13,,,95.20%,13.59%,5.80%,,,24.80%,30121,,,,,,59.63,5.60%,,8324.43,6.42%,6855.90,5.28%,5962.93,4.60%,4150.97,3.20%,,,,,,,,0.00,29.29,30.74,0.00,39.97,,,,,,,,,,16%, 44.4 , 20.0 ,3.0%,17.7%,,,,,,,,,,,,,,,,,,,,,,,,
FY 18-19,Q2 FY 18-19,Sep-18,Svasti Microfinance Pvt Ltd,239.40,230.26,,,91.66%,14.75%,10.12%,,,24.62%,27483,,,,,,2.94,0.71%,,246.23,1.03%,210.88,0.88%,170.14,0.71%,81.78,0.34%,,,,,,,,4.86,0.99,80.17,3.61,10.37,,,,,,,,,,2%, 3.4 , 2.1 ,1.8%,12.7%,,,,,,,,,,,,,,,,,,,,,,,,
FY 18-19,Q2 FY 18-19,Sep-18,Svatantra Microfin Pvt Ltd,792.22,834.16,,,87.65%,10.31%,8.26%,,,19.89%,27698,,,,,,22.62,2.86%,,2721.40,3.44%,2447.27,3.09%,2261.83,2.86%,1977.05,2.50%,,,,,,,,0.00,77.96,10.76,0.00,11.28,,,,,,,,,,3%, 19.3 , 9.6 ,2.7%,15.6%,,,,,,,,,,,,,,,,,,,,,,,,
FY 18-19,Q2 FY 18-19,Sep-18,SVCL,783.56,651.11,,,89.41%,15.17%,6.70%,,,24.70%,27863,,,,,,0.00,5.23%,,5432.88,6.93%,4644.26,5.93%,3897.08,4.97%,2161.05,2.76%,,,,,,,,0.00,19.72,45.97,0.00,34.31,,,,,,,,,,6%, 11.5 , 2.4 ,0.6%,4.5%,,,,,,,,,,,,,,,,,,,,,,,,
FY 18-19,Q2 FY 18-19,Sep-18,Unacco Finance Pvt Ltd,86.08,99.15,,,93.29%,13.40%,7.00%,,,24.48%,22920,,,,,,,0.38%,,19.47,0.23%,11.72,0.14%,8.68,0.10%,5.37,0.06%,,,,,,,,0.00,9.97,90.03,0.00,0.00,,,,,,,,,,2%, 2.1 , 1.5 ,4.0%,20.0%,,,,,,,,,,,,,,,,,,,,,,,,
FY 18-19,Q2 FY 18-19,Sep-18,Unnati Microfin Pvt Ltd,64.61,53.14,,,86.00%,17.19%,7.38%,,,24.63%,32801,,,,,,0.66,1.65%,,123.35,1.91%,114.91,1.78%,106.61,1.65%,76.57,1.19%,,,,,,,,0.00,13.55,0.00,0.00,86.45,,,,,,,,,,8%, 4.2 , 0.1 ,0.4%,4.1%,,,,,,,,,,,,,,,,,,,,,,,,
FY 18-19,Q2 FY 18-19,Sep-18,Varam Capital Pvt Ltd,66.16,58.51,,,75.58%,15.62%,13.28%,,,24.53%,26406,,,,,,6.89,12.45%,,698.09,10.55%,693.45,10.48%,689.26,10.42%,677.31,10.24%,,,,,,,,0.00,36.10,57.79,0.00,6.10,,,,,,,,,,12%, -2.1 , -2.2 ,-5.3%,-44.0%,,,,,,,,,,,,,,,,,,,,,,,,
FY 18-19,Q2 FY 18-19,Sep-18,Vaya FinServ Pvt Ltd,968.05,455.28,,,85.13%,12.78%,7.82%,,,22.00%,27854,,,,,,23.17,2.39%,,2537.81,2.62%,2416.25,2.50%,2316.78,2.39%,2209.03,2.28%,,,,,,,,0.00,23.57,56.78,0.00,19.65,,,,,,,,,,53%, 13.8 , 6.5 ,1.7%,5.3%,,,,,,,,,,,,,,,,,,,,,,,,
FY 18-19,Q2 FY 18-19,Sep-18,VFS Capital Ltd,953.06,1008.68,,,96.98%,12.30%,6.97%,,,22.58%,28506,,,,,,3.61,0.43%,,439.10,0.46%,400.72,0.42%,361.14,0.38%,298.95,0.31%,,,,,,,,5.06,33.86,61.08,0.00,0.00,,,,,,,,,,3%, 17.1 , 9.5 ,2.2%,20.2%,,,,,,,,,,,,,,,,,,,,,,,,
FY 18-19,Q3 FY 18-19,Dec-18,Adhikar Microfinance Private Limited,221.00,166.92,,,93.30%,14.84%,6.89%,,,24.50%,25982,,,,,,0.68,0.61%,,83.26,0.38%,79.27,0.36%,70.26,0.32%,43.83,0.20%,,,,,,,,1.92,17.83,78.50,1.75,0.00,,,,,,,,,,0.252906803,2.501372,1.4425928,0.012286591,0.106935358,,,,,,,,,,,,,,,,,,,,,,,,
FY 18-19,Q3 FY 18-19,Dec-18,Adi Chitragupta Finance Limited,24.72,29.58,,,100.00%,14.65%,10.63%,,,24.80%,26136,,,,,,0.00,0.00%,,0.22,0.01%,0.22,0.01%,0.22,0.01%,0.00,0.00%,,,,,,,,0.00,0.00,0.00,0.00,100.00,,,,,,,,,,0.039493815,0.2849,0,0.00057,0.018,,,,,,,,,,,,,,,,,,,,,,,,
FY 18-19,Q3 FY 18-19,Dec-18,Agora Microfinance India Ltd,36.76,42.13,,,91.99%,12.40%,10.02%,,,23.76%,28478,,,,,,0.56,1.68%,,67.66,1.84%,62.79,1.71%,56.97,1.55%,56.91,1.55%,,,,,,,,0.00,1.50,98.50,0.00,0.00,,,,,,,,,,0.034488821,0.3695694,0,0.0391,0.0391,,,,,,,,,,,,,,,,,,,,,,,,
FY 18-19,Q3 FY 18-19,Dec-18,Annapurna Finance Private Limited,2353.98,2548.07,,,91.08%,11.24%,7.77%,,,21.90%,31467,,,,,,42.00,2.14%,,4735.27,2.01%,4410.64,1.87%,4199.85,1.78%,3793.68,1.61%,,,,,,,,1.82,38.28,17.72,4.36,37.83,,,,,,,,,,0.16077556,65.79030774,0,0.0626,0.168994278,,,,,,,,,,,,,,,,,,,,,,,,
FY 18-19,Q3 FY 18-19,Dec-18,Arohan Financial Services Limited,3274.00,3345.78,,,87.36%,11.21%,6.55%,,,20.73%,28704,,,,,,27.73,0.87%,,4037.41,1.23%,3278.60,1.00%,2722.17,0.83%,1824.61,0.56%,,,,,,,,0.00,32.92,5.97,0.00,61.11,,,,,,,,,,0.084923734,132.8124148,71.0110589,0.09408991,0.144806399,,,,,,,,,,,,,,,,,,,,,,,,
FY 18-19,Q3 FY 18-19,Dec-18,Arth Micro Finance Pvt Ltd,200.92,78.71,,,91.00%,16.49%,6.67%,,,24.14%,28777,,,,,,0.00,0.00%,,4.46,0.02%,2.12,0.01%,0.00,0.00%,0.00,0.00%,,,,,,,,0.00,4.04,30.41,0.00,65.55,,,,,,,,,,0.463065853,2.4352713,1.61071815,0.001386597,0.0731,,,,,,,,,,,,,,,,,,,,,,,,
FY 18-19,Q3 FY 18-19,Dec-18,ASA International India Microfinance Limited,953.76,754.63,,,87.23%,13.34%,6.11%,,,23.23%,26777,,,,,,2.15,0.55%,,732.24,0.77%,627.25,0.66%,546.49,0.57%,360.76,0.38%,,,,,,,,3.97,31.35,40.23,0.00,24.46,,,,,,,,,,0.030979586,29.65842584,21.53851584,0.0097,0.2342,,,,,,,,,,,,,,,,,,,,,,,,
FY 18-19,Q3 FY 18-19,Dec-18,Aviral Finance Pvt Ltd,26.32,29.83,,,91.95%,16.35%,10.15%,,,24.80%,23699,,,,,,0.03,0.17%,,5.63,0.21%,4.36,0.17%,3.49,0.13%,0.86,0.03%,,,,,,,,0.00,0.65,99.35,0.00,0.00,,,,,,,,,,0.034203718,0.0200228,-0.0769362,0.0621,-0.009698496,,,,,,,,,,,,,,,,,,,,,,,,
FY 18-19,Q3 FY 18-19,Dec-18,Belstar Investment and Finance Pvt Ltd,1562.58,1619.15,,,85.88%,13.68%,7.45%,,,22.39%,33511,,,,,,9.39,1.25%,,2483.48,1.59%,1695.62,1.09%,1413.53,0.90%,862.47,0.55%,,,,,,,,0.00,58.58,11.96,0.00,29.46,,,,,,,,,,0.045876317,240.0449054,56.19954908,0.0626,0.295,,,,,,,,,,,,,,,,,,,,,,,,
FY 18-19,Q3 FY 18-19,Dec-18,Bharat Financial Inclusion Ltd (previously known as SKS),16650.70,12522.26,,,94.00%,9.90%,5.23%,,,19.75%,26430,,,,,,18.67,0.61%,,Portfolio quality data ,,,,,,,,,,,,,,,0.00,61.55,7.61,0.00,30.83,,,,,,,,,,0.103890996,405.0838171,288.4214123,0.09408991,0.307420316,,,,,,,,,,,,,,,,,,,,,,,,
FY 18-19,Q3 FY 18-19,Dec-18,Centrum MicroCredit Ltd,186.26,214.20,,,97.03%,14.83%,12.02%,,,24.77%,30244,,,,,,0.36,0.19%,,41.11,0.22%,37.77,0.20%,36.22,0.19%,30.30,0.16%,,,,,,,,0.00,10.13,27.92,0.00,61.95,,,,,,,,,,0.008494341,0.51163254,0.249185694,0.001386597,0.0270068,,,,,,,,,,,,,,,,,,,,,,,,
FY 18-19,Q3 FY 18-19,Dec-18,Chaitanya India Fin Credit Pvt Ltd,506.56,514.10,,,93.26%,14.91%,10.50%,,,24.69%,25883,,,,,,14.19,2.77%,,1487.67,2.94%,1439.95,2.84%,1418.67,2.80%,1377.06,2.72%,,,,,,,,0.00,16.78,41.41,0.00,41.81,,,,,,,,,,0.034453057,6.885909127,1.7118915,0.0097,0.096,,,,,,,,,,,,,,,,,,,,,,,,
FY 18-19,Q3 FY 18-19,Dec-18,CreditAccess Grameen Ltd,6085.32,6651.84,,,91.31%,10.58%,5.03%,,,19.74%,18616,,,,,,61.06,1.15%,,7546.26,1.24%,6786.87,1.12%,6105.18,1.00%,4354.37,0.72%,,,,,,,,0.00,56.50,26.42,2.84,14.24,,,,,,,,,,0.072534664,166.017195,99.75626376,0.0621,0.1769,,,,,,,,,,,,,,,,,,,,,,,,
FY 18-19,Q3 FY 18-19,Dec-18,Fino Finance Pvt Ltd,644.61,504.63,,,86.68%,13.10%,8.57%,,,23.82%,33207,,,,,,79.49,6.29%,,8947.29,13.88%,8395.96,13.02%,7949.42,12.33%,6782.63,10.52%,,,,,,,,0.00,19.26,54.43,0.00,26.31,,,,,,,,,,0.211368328,19.25762475,11.07968603,0.027412091,0.161798545,,,,,,,,,,,,,,,,,,,,,,,,
FY 18-19,Q3 FY 18-19,Dec-18,Fusion Microfinance Pvt Ltd,2358.74,2882.52,,,94.46%,13.32%,7.48%,,,22.62%,27431,,,,,,30.50,1.38%,,4188.16,1.78%,3610.89,1.53%,3249.38,1.38%,2555.64,1.08%,,,,,,,,4.92,46.90,20.69,0.00,27.49,,,,,,,,,,0.055493628,252.4581893,49.29706677,0.029537299,0.211217859,,,,,,,,,,,,,,,,,,,,,,,,
